Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
1100,Standard for Alcohol And Kerosene Cooking Appliances for Marine Use,Ed. 2,UL,"April 05, 1999",ulstd,True,Standard,Alcohol And Kerosene Cooking Appliances for Marine Use,Kerosene Cooking Appliances for Marine,Alcohol And Kerosene Cooking Appliances,Kerosene Cooking Appliances,Cooking Appliances for Marine,Alcohol And Kerosene Cooking
1101,Standard for Solidified Fuel Cooking Appliances for Marine Use,Ed. 2,UL,"April 05, 1999",ulstd,True,Standard,Solidified Fuel Cooking Appliances for Marine Use,Fuel Cooking Appliances for Marine,Solidified Fuel Cooking Appliances,Fuel Cooking Appliances,Cooking Appliances for Marine,Solidified Fuel Cooking
1102,Standard for Nonintegral Marine Fuel Tanks,Ed. 5,UL,"February 04, 1999",ulstd,True,Standard,Nonintegral Marine Fuel Tanks,Nonintegral Marine Fuel Tanks,Marine Fuel Tanks,Nonintegral Marine Fuel,Fuel Tanks,Marine Fuel
1105,"Standard for Marine Use Filters, Strainers, And Separators",Ed. 4,UL,"May 02, 2006",ulstd,True,Standard,"Marine Use Filters, Strainers, And Separators",Marine Use Filters,Strainers,Filters,Separators,Marine
1106,Standard for Marine Manually Operated Shutoff Valves for Flammable Liquids,Ed. 2,UL,"November 18, 1998",ulstd,True,Standard,Marine Manually Operated Shutoff Valves for Flammable Liquids,Marine Manually Operated Shutoff Valves,Shutoff Valves for Flammable Liquids,Manually Operated Shutoff Valves,Operated Shutoff Valves for Flammable,Marine Manually Operated Shutoff
1107,Electric Power Switches,Ed. 1,UL,"April 18, 2002",outline,True,,Electric Power Switches,Electric Power Switches,Power Switches,Electric Power,Switches,Power
1110,Standard for Marine Combustible Gas Indicators,Ed. 3,UL,"September 04, 1997",ulstd,True,Standard,Marine Combustible Gas Indicators,Marine Combustible Gas Indicators,Combustible Gas Indicators,Marine Combustible Gas,Gas Indicators,Combustible Gas
1112,"Standard for Marine Electric Motors And Generators (Cranking, Outdrive Tilt, Trim Tab, Generators, Alternators)",Ed. 3,UL,"September 05, 1997",ulstd,True,Standard,"Marine Electric Motors And Generators (Cranking, Outdrive Tilt, Trim Tab, Generators, Alternators)",Marine Electric Motors And Generators,Marine Electric Motors,Electric Motors And Generators,Outdrive Tilt,Trim Tab
1113,"Standard for Electrically Operated Pumps for Nonflammable Liquids, Marine",Ed. 4,UL,"March 01, 2004",ulstd,True,Standard,"Electrically Operated Pumps for Nonflammable Liquids, Marine",Operated Pumps for Nonflammable Liquids,Electrically Operated Pumps for Nonflammable,Pumps for Nonflammable Liquids,Operated Pumps for Nonflammable,Electrically Operated Pumps
1120,Standard for Marine Engine Ignition Systems And Components,Ed. 3,UL,"September 04, 1997",ulstd,True,Standard,Marine Engine Ignition Systems And Components,Engine Ignition Systems And Components,Marine Engine Ignition Systems,Ignition Systems And Components,Engine Ignition Systems,Marine Engine Ignition
1121,Standard for Marine Through-Hull Fittings And Sea-Valves,Ed. 5,UL,"November 18, 1998",ulstd,True,Standard,Marine Through-Hull Fittings And Sea-Valves,Marine Through-Hull Fittings And Sea-Valves,Marine Through-Hull Fittings,Through-Hull Fittings And Sea-Valves,Fittings And Sea-Valves,Through-Hull Fittings
1123,Standard for Marine Buoyant Devices,Ed. 7,UL,"October 01, 2008",ulstd,True,Standard,Marine Buoyant Devices,Marine Buoyant Devices,Buoyant Devices,Marine Buoyant,Devices,Buoyant
1128,Standard for Marine Blowers,Ed. 3,UL,"September 25, 1997",ulstd,True,Standard,Marine Blowers,Marine Blowers,Blowers,Marine,,
1129,Standard for Wet Exhaust Components for Marine Engines,Ed. 3,UL,"September 01, 1999",ulstd,True,Standard,Wet Exhaust Components for Marine Engines,Exhaust Components for Marine Engines,Wet Exhaust Components for Marine,Components for Marine Engines,Exhaust Components for Marine,Wet Exhaust Components
1130,Standard for Mechanically And Electrically Operated Fuel Pumps for Marine Use,Ed. 2,UL,"March 01, 1999",ulstd,True,Standard,Mechanically And Electrically Operated Fuel Pumps for Marine Use,Electrically Operated Fuel Pumps,Operated Fuel Pumps for Marine,Mechanically And Electrically Operated Fuel,Electrically Operated Fuel,Operated Fuel Pumps
1149,Standard for Low Voltage Marine Lighting Fixtures,Ed. 2,UL,"September 28, 2009",ulstd,True,Standard,Low Voltage Marine Lighting Fixtures,Low Voltage Marine Lighting Fixtures,Voltage Marine Lighting Fixtures,Low Voltage Marine Lighting,Marine Lighting Fixtures,Voltage Marine Lighting
1168,Standard for Recreational Boats,Ed. 2,UL,"July 12, 1999",ulstd,True,Standard,Recreational Boats,Recreational Boats,Boats,Recreational,,
1175,Standard for Buoyant Cushions,Ed. 4,UL,"April 20, 2007",ulstd,True,Standard,Buoyant Cushions,Buoyant Cushions,Cushions,Buoyant,,
1177,Standard for Buoyant Vests,Ed. 3,UL,"June 19, 2007",ulstd,True,Standard,Buoyant Vests,Buoyant Vests,Vests,Buoyant,,
1180,Standard for Fully Inflatable Recreational Personal Flotation Devices,Ed. 2,UL,"February 13, 2009",ulstd,True,Standard,Fully Inflatable Recreational Personal Flotation Devices,Inflatable Recreational Personal Flotation Devices,Fully Inflatable Recreational Personal Flotation,Recreational Personal Flotation Devices,Inflatable Recreational Personal Flotation,Fully Inflatable Recreational Personal
1191,Components for Personal Flotation Devices / Composants De Vêtements De Flottaison Individuels,Ed. 5,UL,"May 28, 2019",ulstd,False,,Components for Personal Flotation Devices,Components for Personal Flotation Devices,Personal Flotation Devices,Components for Personal Flotation,Flotation Devices,Personal Flotation
1193,Standard for Marine Filters And Strainers for Nonflammable Liquids,Ed. 2,UL,"November 19, 1998",ulstd,True,Standard,Marine Filters And Strainers for Nonflammable Liquids,Strainers for Nonflammable Liquids,Filters And Strainers for Nonflammable,Marine Filters And Strainers,Nonflammable Liquids,Filters And Strainers
1196,Standard for Floating Waterlights,Ed. 3,UL,"October 29, 1998",ulstd,True,Standard,Floating Waterlights,Floating Waterlights,Waterlights,Floating,,
1197,Standard for Immersion Suits,Ed. 2,UL,"October 04, 1996",ulstd,True,Standard,Immersion Suits,Immersion Suits,Suits,Immersion,,
1197,Standard for Immersion Suits,Ed. 3,UL,"April 20, 2007",ulstd,True,Standard,Immersion Suits,Immersion Suits,Suits,Immersion,,
1199,Standard for Recreational Boats Less Than 20 Feet In Length,Ed. 2,UL,"July 22, 1999",ulstd,True,Standard,Recreational Boats Less Than 20 Feet In Length,Feet In Length,Recreational Boats,Feet,Length,Boats
1201,Ansi/Can/Ul/Ulc Standard for Sensor Operated Backwater Prevention Systems / Norme Sur Les Systèmes De Prévention De Retour D'Eau À Capteurs,Ed. 1,UL,"December 14, 2016",ulstd,False,Ansi/Can/Ul/Ulc Standard,Sensor Operated Backwater Prevention Systems,Sensor Operated Backwater Prevention Systems,Operated Backwater Prevention Systems,Sensor Operated Backwater Prevention,Backwater Prevention Systems,Operated Backwater Prevention
1201,Sensor Operated Backwater Prevention Systems / Norme Sur Les Systèmes De Prévention De Retour D'Eau À Capteurs,Ed. 1,ULC,"December 16, 2016",ulstd,False,,Sensor Operated Backwater Prevention Systems,Sensor Operated Backwater Prevention Systems,Operated Backwater Prevention Systems,Sensor Operated Backwater Prevention,Backwater Prevention Systems,Operated Backwater Prevention
1203,Standard for Explosion-Proof And Dust-Ignition-Proof Electrical Equipment for Use In Hazardous (Classified) Locations,Ed. 5,UL,"November 22, 2013",ulstd,True,Standard,Explosion-Proof And Dust-Ignition-Proof Electrical Equipment for Use In Hazardous (Classified) Locations,Electrical Equipment,Equipment for Use In Hazardous,Classified,Locations,Electrical
1204,Parts Cleaners,Ed. 1,UL,"July 19, 2018",ulstd,True,,Parts Cleaners,Parts Cleaners,Cleaners,Parts,,
1206,Standard for Electric Commercial Clothes-Washing Equipment,Ed. 4,UL,"April 22, 2003",ulstd,True,Standard,Electric Commercial Clothes-Washing Equipment,Electric Commercial Clothes-Washing Equipment,Commercial Clothes-Washing Equipment,Electric Commercial Clothes-Washing,Electric Commercial,Clothes-Washing Equipment
1230,Standard for Amateur Movie Lights,Ed. 5,UL,"January 31, 2000",ulstd,True,Standard,Amateur Movie Lights,Amateur Movie Lights,Movie Lights,Amateur Movie,Lights,Movie
1236,Standard for Battery Chargers for Charging Engine-Starter Batteries,Ed. 8,UL,"April 21, 2015",ulstd,True,Standard,Battery Chargers for Charging Engine-Starter Batteries,Chargers for Charging Engine-Starter Batteries,Battery Chargers for Charging Engine-Starter,Battery Chargers for Charging,Charging Engine-Starter Batteries,Chargers for Charging Engine-Starter
1237,Subject for Trash Compactors,Ed. 1,UL,"July 23, 2001",,True,,Subject for Trash Compactors,Subject for Trash Compactors,Trash Compactors,Subject for Trash,Compactors,Trash
1238,Standard for Control Equipment for Use With Flammable Liquid And Lp-Gas Dispensing Devices,Ed. 7,UL,"January 19, 2022",ulstd,True,Standard,Control Equipment for Use With Flammable Liquid And Lp-Gas Dispensing Devices,Liquid And Lp-Gas Dispensing Devices,Flammable Liquid And Lp-Gas Dispensing,Lp-Gas Dispensing Devices,Liquid And Lp-Gas Dispensing,Flammable Liquid And Lp-Gas
1238A,Battery Operated Hose Nozzle Valve Readers,Ed. 3,UL,"September 28, 2012",outline,True,,Battery Operated Hose Nozzle Valve Readers,Operated Hose Nozzle Valve Readers,Battery Operated Hose Nozzle Valve,Hose Nozzle Valve Readers,Operated Hose Nozzle Valve,Battery Operated Hose Nozzle
1240,Standard for Electric Commercial Clothes-Drying Equipment,Ed. 4,UL,"October 04, 2005",ulstd,True,Standard,Electric Commercial Clothes-Drying Equipment,Electric Commercial Clothes-Drying Equipment,Commercial Clothes-Drying Equipment,Electric Commercial Clothes-Drying,Electric Commercial,Clothes-Drying Equipment
1241,Standard for Junction Boxes for Swimming Pool Luminaires,Ed. 7,UL,"June 11, 2003",ulstd,True,Standard,Junction Boxes for Swimming Pool Luminaires,Boxes for Swimming Pool Luminaires,Junction Boxes for Swimming Pool,Swimming Pool Luminaires,Boxes for Swimming Pool,Junction Boxes for Swimming
1242,Standard for Electrical Intermediate Metal Conduit - Steel,Ed. 4,UL,"February 16, 2006",ulstd,True,Standard,Electrical Intermediate Metal Conduit - Steel,Electrical Intermediate Metal Conduit,Intermediate Metal Conduit,Electrical Intermediate Metal,Metal Conduit,Intermediate Metal
1243,Subject 1243 - Certification Program for Nonmetallic Petroleum Product Containers To Astm D3435-80,Ed. 1,UL,"April 27, 2004",,True,,Subject 1243 - Certification Program for Nonmetallic Petroleum Product Containers To Astm D3435-80,Certification Program for Nonmetallic Petroleum,Petroleum Product Containers To Astm,Program for Nonmetallic Petroleum Product,Nonmetallic Petroleum Product Containers,Certification Program for Nonmetallic
1247,Standard for Diesel Engines for Driving Centrifugal Fire Pumps,Ed. 5,UL,"May 31, 2007",ulstd,True,Standard,Diesel Engines for Driving Centrifugal Fire Pumps,Driving Centrifugal Fire Pumps,Engines for Driving Centrifugal Fire,Diesel Engines for Driving Centrifugal,Centrifugal Fire Pumps,Engines for Driving Centrifugal
1247a,Outline of Investigation for Variable Speed Limiting Controls Installed With Diesel Engines for Driving Stationary Fire Pumps,Ed. 3,UL,"April 28, 2017",outline,True,Outline,Investigation for Variable Speed Limiting Controls Installed With Diesel Engines for Driving Stationary Fire Pumps,Variable Speed Limiting Controls Installed,Driving Stationary Fire Pumps,Variable Speed Limiting Controls,Speed Limiting Controls Installed,Limiting Controls Installed With Diesel
1248,Standard for Engine-Generator Assemblies for Use In Recreational Vehicles,Ed. 2,UL,"December 10, 2004",,True,Standard,Engine-Generator Assemblies for Use In Recreational Vehicles,Recreational Vehicles,Assemblies for Use In Recreational,Engine-Generator Assemblies,Vehicles,Assemblies
1248,Standard for Engine-Generator Assemblies for Use In Recreational Vehicles,Ed. 3,UL,"December 08, 2006",ulstd,True,Standard,Engine-Generator Assemblies for Use In Recreational Vehicles,Recreational Vehicles,Assemblies for Use In Recreational,Engine-Generator Assemblies,Vehicles,Assemblies
1254,Pre-Engineered And Engineered Dry And Pre-Engineered Wet Chemical Extinguishing System Units / Unités De Système D'Extinction Standardisées Et Spécialisées À Poudre Chimique Et Pour Les Unités De Systèmes D'Extinction Standardisées À Produit Chimique Mouillant,Ed. 6,UL,"April 03, 2019",ulcanada,False,,Pre-Engineered And Engineered Dry And Pre-Engineered Wet Chemical Extinguishing System Units,Wet Chemical Extinguishing System Units,Pre-Engineered Wet Chemical Extinguishing System,Chemical Extinguishing System Units,Wet Chemical Extinguishing System,Pre-Engineered Wet Chemical Extinguishing
1254,Pre-Engineered And Engineered Dry And Pre-Engineered Wet Chemical Extinguishing System Units / Unités De Système D'Extinction Standardisées Et Spécialisées À Poudre Chimique Et Pour Les Unités De Systèmes D'Extinction Standardisées À Produit Chimique Mouillant,Ed. 6,ULC,"April 03, 2019",ulc,False,,Pre-Engineered And Engineered Dry And Pre-Engineered Wet Chemical Extinguishing System Units,Wet Chemical Extinguishing System Units,Pre-Engineered Wet Chemical Extinguishing System,Chemical Extinguishing System Units,Wet Chemical Extinguishing System,Pre-Engineered Wet Chemical Extinguishing
1254.6,Fire Testing of Restaurant Cooking Area Fire Extinguishing System Units,Ed. 1,ULC,"January 30, 1995",,True,Fire Test,Restaurant Cooking Area Fire Extinguishing System Units,Area Fire Extinguishing System Units,Cooking Area Fire Extinguishing System,Restaurant Cooking Area Fire Extinguishing,Fire Extinguishing System Units,Cooking Area Fire Extinguishing
1254.18,The Servicing of Restaurant Cooking Area Extinguishing Systems ,Ed. 1,ULC,"September 01, 2004",,True,,The Servicing of Restaurant Cooking Area Extinguishing Systems ,Restaurant Cooking Area Extinguishing Systems,Cooking Area Extinguishing Systems,Servicing of Restaurant Cooking Area,Restaurant Cooking Area Extinguishing,Area Extinguishing Systems
1254F,Outline of Investigation for Rubber-Gasketed Fittings And Metallic Pipe for Commercial Cooking Equipment Protection Extinguishing System Units,Ed. 1,UL,"March 04, 2016",outline,True,Outline,Investigation for Rubber-Gasketed Fittings And Metallic Pipe for Commercial Cooking Equipment Protection Extinguishing System Units,Equipment Protection Extinguishing System Units,Commercial Cooking Equipment Protection Extinguishing,Cooking Equipment Protection Extinguishing System,Protection Extinguishing System Units,Metallic Pipe for Commercial Cooking
1254H,Outline of Investigation for Stationary And Semi-Portable Hand Hose Line Dry Chemical Extinguishing System Units,Ed. 2,UL,"December 09, 2019",,True,Outline,Investigation for Stationary And Semi-Portable Hand Hose Line Dry Chemical Extinguishing System Units,Dry Chemical Extinguishing System Units,Hand Hose Line Dry Chemical,Hose Line Dry Chemical Extinguishing,Line Dry Chemical Extinguishing System,Semi-Portable Hand Hose Line Dry
1256,Standard for Fire Test of Roof Deck Constructions,Ed. 4,UL,"October 31, 2002",ulstd,True,Standard for Fire Test,Roof Deck Constructions,Roof Deck Constructions,Deck Constructions,Roof Deck,Constructions,Deck
1285,"Pipe And Couplings, Polyvinyl Chloride (Pvc), And Oriented Polyvinyl Chloride (Pvco) for Underground Fire Service / Tuyaux Et Accouplements, Polychlorure De Vinyle (Pvc) Et Polychlorure De Vinyle Orienté (Pcvo) Utilisés Dans Les Systèmes Souterrains De Lutte Contre Les Incendies",Ed. 8,ULC,"March 21, 2022",ulc,False,,"Pipe And Couplings, Polyvinyl Chloride (Pvc), And Oriented Polyvinyl Chloride (Pvco) for Underground Fire Service",Oriented Polyvinyl Chloride,Underground Fire Service,Polyvinyl Chloride,Fire Service,Pipe And Couplings
1261,Standard for Electric Water Heaters for Pools And Tubs,Ed. 6,UL,"September 02, 2016",ulstd,True,Standard,Electric Water Heaters for Pools And Tubs,Electric Water Heaters for Pools,Heaters for Pools And Tubs,Water Heaters for Pools,Electric Water Heaters,Pools And Tubs
1263,Irrigation Cables,Ed. 6,UL,"January 16, 2020",,True,,Irrigation Cables,Irrigation Cables,Cables,Irrigation,,
1275,Ansi/Can/Ul/Ulc Flammable Liquid Storage Cabinets / Armoires De Stockage De Liquides Inflammables,Ed. 5,UL,"August 26, 2021",,True,,Ansi/Can/Ul/Ulc Flammable Liquid Storage Cabinets / Armoires De Stockage De Liquides Inflammables,Ulc Flammable Liquid Storage Cabinets,Ulc Flammable Liquid Storage,Flammable Liquid Storage Cabinets,Ulc Flammable Liquid,Liquid Storage Cabinets
1275,Flammable Liquid Storage Cabinets / Armoires De Stockage De Liquides Inflammables,Ed. 5,ULC,"August 26, 2021",ulc,True,,Flammable Liquid Storage Cabinets / Armoires De Stockage De Liquides Inflammables,Flammable Liquid Storage Cabinets,Liquid Storage Cabinets,Armoires De Stockage De Liquides,Stockage De Liquides Inflammables,Flammable Liquid Storage
1276,Outline of Investigation for Welding Cable,Ed. 2,UL,"October 01, 2015",outline,True,Outline,Investigation for Welding Cable,Investigation for Welding Cable,Welding Cable,Investigation for Welding,Cable,Welding
1277,Standard for Electrical Power And Control Tray Cables With Optional Optical-Fiber Members,Ed. 6,UL,"September 12, 2018",ulstd,True,Standard,Electrical Power And Control Tray Cables With Optional Optical-Fiber Members,Power And Control Tray Cables,Control Tray Cables With Optional,Electrical Power And Control Tray,Cables With Optional Optical-Fiber Members,Tray Cables With Optional Optical-Fiber
1278,Standard for Movable And Wall- Or Ceiling-Hung Electric Room Heaters,Ed. 4,UL,"March 21, 2014",ulstd,True,Standard,Movable And Wall- Or Ceiling-Hung Electric Room Heaters,Ceiling-Hung Electric Room Heaters,Electric Room Heaters,Ceiling-Hung Electric Room,Room Heaters,Movable And Wall
1279,Solar Collectors,Ed. 2,UL,"January 08, 2010",outline,True,,Solar Collectors,Solar Collectors,Collectors,Solar,,
1283,Standard for Electromagnetic Interference Filters,Ed. 7,UL,"May 17, 2017",ulstd,True,Standard,Electromagnetic Interference Filters,Electromagnetic Interference Filters,Interference Filters,Electromagnetic Interference,Filters,Interference
1285,"Pipe And Couplings, Polyvinyl Chloride (Pvc), And Oriented Polyvinyl Chloride (Pvco) for Underground Fire Service / Tuyaux Et Accouplements, Polychlorure De Vinyle (Pvc) Et Polychlorure De Vinyle Orienté (Pcvo) Utilisés Dans Les Systèmes Souterrains De Lutte Contre Les Incendies",Ed. 8,UL,"March 21, 2022",ulcanada,False,,"Pipe And Couplings, Polyvinyl Chloride (Pvc), And Oriented Polyvinyl Chloride (Pvco) for Underground Fire Service",Oriented Polyvinyl Chloride,Underground Fire Service,Polyvinyl Chloride,Fire Service,Pipe And Couplings
1286,Office Furnishing Systems,Ed. 6,UL,"June 29, 2022",ulstd,True,,Office Furnishing Systems,Office Furnishing Systems,Furnishing Systems,Office Furnishing,Systems,Furnishing
1294,Composite Panels,Ed. 1,UL,"November 29, 2011",outline,True,,Composite Panels,Composite Panels,Panels,Composite,,
1296,Standard for Shear Resistance Tests for Ceiling Boards for Manufactured Homes,Ed. 5,UL,"September 30, 1996",ulstd,True,Standard for Shear Resistance Test,Ceiling Boards for Manufactured Homes,Ceiling Boards for Manufactured Homes,Boards for Manufactured Homes,Ceiling Boards for Manufactured,Manufactured Homes,Boards for Manufactured
1298,Standard for Roof Trusses for Manufactured Homes,Ed. 5,UL,"December 18, 2006",ulstd,True,Standard,Roof Trusses for Manufactured Homes,Roof Trusses for Manufactured Homes,Trusses for Manufactured Homes,Roof Trusses for Manufactured,Manufactured Homes,Trusses for Manufactured
1302,Subject for General Purpose Signaling Devices And Systems,Ed. 1,UL,"November 25, 1998",,True,,Subject for General Purpose Signaling Devices And Systems,Purpose Signaling Devices And Systems,General Purpose Signaling Devices,Subject for General Purpose Signaling,Signaling Devices And Systems,General Purpose Signaling
1309,Standard for Marine Shipboard Cable,Ed. 3,UL,"April 21, 2017",ulstd,True,Standard,Marine Shipboard Cable,Marine Shipboard Cable,Shipboard Cable,Marine Shipboard,Cable,Shipboard
1309A,Outline of Investigation for Cable for Use In Mobile Installations,Ed. 1,UL,"September 03, 2020",outline,True,Outline,Investigation for Cable for Use In Mobile Installations,Mobile Installations,Investigation for Cable,Cable for Use In Mobile,Installations,Cable
1310,Standard for Class 2 Power Units,Ed. 7,UL,"March 09, 2018",ulstd,True,Standard,Class 2 Power Units,Power Units,Class,Power,Units,
1313,Standard for Nonmetallic Safety Cans for Petroleum Products,Ed. 3,UL,"December 16, 2015",ulstd,True,Standard,Nonmetallic Safety Cans for Petroleum Products,Safety Cans for Petroleum Products,Nonmetallic Safety Cans for Petroleum,Petroleum Products,Safety Cans for Petroleum,Nonmetallic Safety
1315,Safety Containers for Waste Paper,Ed. 3,UL,"June 22, 2022",ulstd,True,,Safety Containers for Waste Paper,Safety Containers for Waste Paper,Containers for Waste Paper,Safety Containers for Waste,Waste Paper,Containers for Waste
1316,Ansi/Can/Ul/Ulc Standard for Fibre Reinforced Underground Tanks for Flammable And Combustible Liquids / Norme Sur Les Réservoirs Souterrains En Plastique Renforcé Pour Les Liquides Inflammables Et Combustibles,Ed. 3,UL,"November 21, 2018",ulstd,False,Ansi/Can/Ul/Ulc Standard,Fibre Reinforced Underground Tanks for Flammable And Combustible Liquids,Reinforced Underground Tanks for Flammable,Fibre Reinforced Underground Tanks,Flammable And Combustible Liquids,Reinforced Underground Tanks,Underground Tanks for Flammable
1316,Ansi/Can/Ul/Ulc Standard for Fibre Reinforced Underground Tanks for Flammable And Combustible Liquids / Ansi/Can/Ul/Ulc Norme Sur Les Réservoirs Souterrains En Plastique Renforcé Pour Les Liquides Inflammables Et Combustibles,Ed. 3,ULC,"November 21, 2018",ulstd,False,Ansi/Can/Ul/Ulc Standard,Fibre Reinforced Underground Tanks for Flammable And Combustible Liquids,Reinforced Underground Tanks for Flammable,Fibre Reinforced Underground Tanks,Flammable And Combustible Liquids,Reinforced Underground Tanks,Underground Tanks for Flammable
1321,Polytetrafluoroethylene Plastic Seal Materials,Ed. 6,UL,"January 17, 2013",outline,True,,Polytetrafluoroethylene Plastic Seal Materials,Polytetrafluoroethylene Plastic Seal Materials,Plastic Seal Materials,Polytetrafluoroethylene Plastic Seal,Seal Materials,Plastic Seal
1322,Standard for Fabricated Scaffold Planks And Stages,Ed. 6,UL,"March 31, 2010",ulstd,True,Standard,Fabricated Scaffold Planks And Stages,Fabricated Scaffold Planks And Stages,Scaffold Planks And Stages,Fabricated Scaffold Planks,Planks And Stages,Scaffold Planks
1323,Standard for Scaffold Hoists,Ed. 4,UL,"April 05, 2007",ulstd,True,Standard,Scaffold Hoists,Scaffold Hoists,Hoists,Scaffold,,
1331,Standard for Station Inlets And Outlets,Ed. 1,UL,"September 30, 2005",ulstd,True,Standard,Station Inlets And Outlets,Station Inlets And Outlets,Inlets And Outlets,Station Inlets,Outlets,Inlets
1332,Standard for Organic Coatings for Steel Enclosures for Outdoor Use Electrical Equipment,Ed. 5,UL,"February 12, 2016",ulstd,True,Standard for Organic Coatings for Steel Enclosure,Outdoor Use Electrical Equipment,Outdoor Use Electrical Equipment,Electrical Equipment,Outdoor Use Electrical,Equipment,Electrical
1336,Exit Doors,Ed. 3,UL,"March 18, 2011",outline,True,,Exit Doors,Exit Doors,Doors,Exit,,
1337,"Ansi/Can/Ul/Ulc Lp-Gas, Natural Gas, And Manufactured Gas Devices for Engine Fuel Systems / Gaz De Pétrole Liquéfié, Le Gaz Naturel Et Les Dispositifs À Gaz Fabriqué Pour Les Systèmes D'Alimentation En Carburant De Moteur",Ed. 1,UL,"December 07, 2022",,False,,"Ansi/Can/Ul/Ulc Lp-Gas, Natural Gas, And Manufactured Gas Devices for Engine Fuel Systems",Devices for Engine Fuel Systems,Manufactured Gas Devices for Engine,Gas Devices for Engine Fuel,Engine Fuel Systems,Devices for Engine Fuel
1337,"Lp-Gas, Natural Gas, And Manufactured Gas Devices for Engine Fuel Systems / Gaz De Pétrole Liquéfié, Le Gaz Naturel Et Les Dispositifs À Gaz Fabriqué Pour Les Systèmes D'Alimentation En Carburant De Moteur",Ed. 1,ULC,"December 07, 2022",ululcanada,False,,"Lp-Gas, Natural Gas, And Manufactured Gas Devices for Engine Fuel Systems",Devices for Engine Fuel Systems,Manufactured Gas Devices for Engine,Gas Devices for Engine Fuel,Engine Fuel Systems,Devices for Engine Fuel
1340,Standard for Hoists,Ed. 3,UL,"October 14, 2016",ulstd,True,Standard,Hoists,Hoists,,,,
1349,Lp-Gas Vaporizers / Vaporisateurs De Gaz De Pétrole Liquéfié,Ed. 1,UL,"February 27, 2023",ululcanada,False,,Lp-Gas Vaporizers,Lp-Gas Vaporizers,Vaporizers,Lp-Gas,,
1349,Lp-Gas Vaporizers / Vaporisateurs De Gaz De Pétrole Liquéfié,Ed. 1,ULC,"February 27, 2023",ululcanada,False,,Lp-Gas Vaporizers,Lp-Gas Vaporizers,Vaporizers,Lp-Gas,,
1351,Hose Reels,Ed. 1,UL,"October 04, 2005",outline,True,,Hose Reels,Hose Reels,Reels,Hose,,
1356,Outline of Investigation for Pipe Joint Sealing Compounds,Ed. 5,UL,"July 13, 2018",outline,True,Outline,Investigation for Pipe Joint Sealing Compounds,Pipe Joint Sealing Compounds,Investigation for Pipe Joint Sealing,Joint Sealing Compounds,Pipe Joint Sealing,Investigation for Pipe Joint
1357,Outline of Investigation for Oxygen-Fuel Gas Flash Arrester And Combination Flash Arrester And Back-Pressure Check Valves,Ed. 7,UL,"February 07, 2019",outline,True,Outline,Investigation for Oxygen-Fuel Gas Flash Arrester And Combination Flash Arrester And Back-Pressure Check Valves,Arrester And Combination Flash Arrester,Gas Flash Arrester And Combination,Flash Arrester And Combination Flash,Arrester And Back-Pressure Check Valves,Oxygen-Fuel Gas Flash Arrester
1358,Outline of Investigation for Compressed Gas Check Valves And Hose Couplers,Ed. 4,UL,"January 15, 2021",outline,True,Outline,Investigation for Compressed Gas Check Valves And Hose Couplers,Check Valves And Hose Couplers,Compressed Gas Check Valves,Gas Check Valves And Hose,Investigation for Compressed Gas Check,Valves And Hose Couplers
1362,Outline of Investigation for Gas Boosters,Ed. 2,UL,"September 01, 2020",outline,True,Outline,Investigation for Gas Boosters,Investigation for Gas Boosters,Gas Boosters,Investigation for Gas,Boosters,Gas
1363,Standard for Relocatable Power Taps,Ed. 5,UL,"June 12, 2018",ulstd,True,Standard,Relocatable Power Taps,Relocatable Power Taps,Power Taps,Relocatable Power,Taps,Power
1363A,Special Purpose Relocatable Power Taps,Ed. 3,UL,"January 08, 2010",outline,True,,Special Purpose Relocatable Power Taps,Special Purpose Relocatable Power Taps,Purpose Relocatable Power Taps,Special Purpose Relocatable Power,Relocatable Power Taps,Purpose Relocatable Power
1365,Outline of Investigation for Corrugated Medical Tubing (Cmt) Systems,Ed. 7,UL,"August 06, 2020",outline,True,Outline,Investigation for Corrugated Medical Tubing (Cmt) Systems,Investigation for Corrugated Medical Tubing,Corrugated Medical Tubing,Investigation for Corrugated Medical,Medical Tubing,Corrugated Medical
1366,Outline of Investigation for Insulated Bus Pipe,Ed. 2,UL,"November 23, 2020",outline,True,Outline,Investigation for Insulated Bus Pipe,Investigation for Insulated Bus Pipe,Insulated Bus Pipe,Investigation for Insulated Bus,Bus Pipe,Insulated Bus
1368,Outline of Investigation for Restricted Use Substances In Metallic Components,Ed. 2,UL,"October 18, 2018",outline,True,Outline,Investigation for Restricted Use Substances In Metallic Components,Substances In Metallic Components,Restricted Use Substances In Metallic,Investigation for Restricted Use Substances,Metallic Components,Restricted Use Substances
1369,Ansi/Can/Ul/Ulc Aboveground Piping for Flammable And Combustible Liquids / La Tuyauterie Hors Sol Pour Les Liquides Inflammables Et Combustibles,Ed. 1,UL,"August 31, 2018",ulstd,True,,Ansi/Can/Ul/Ulc Aboveground Piping for Flammable And Combustible Liquids / La Tuyauterie Hors Sol Pour Les Liquides Inflammables Et Combustibles,Tuyauterie Hors Sol Pour Les,Hors Sol Pour Les Liquides,Sol Pour Les Liquides Inflammables,Ulc Aboveground Piping for Flammable,Tuyauterie Hors Sol Pour
