Standard_Number,Description,Label,Catalog,Edition_Date,Type
1321,POLYTETRAFLUOROETHYLENE PLASTIC SEAL MATERIALS,Ed. 6,UL,"January 17, 2013",outline
1322,Standard for Fabricated Scaffold Planks and Stages,Ed. 6,UL,"March 31, 2010",ulstd
1323,Standard for Scaffold Hoists,Ed. 4,UL,"April 05, 2007",ulstd
1331,Standard for Station Inlets and Outlets,Ed. 1,UL,"September 30, 2005",ulstd
1332,Standard for Organic Coatings for Steel Enclosures for Outdoor Use Electrical Equipment,Ed. 5,UL,"February 12, 2016",ulstd
1336,EXIT DOORS,Ed. 3,UL,"March 18, 2011",outline
1337,"ANSI/CAN/UL/ULC LP-Gas, Natural Gas, and Manufactured Gas Devices for Engine Fuel Systems / Gaz de pétrole liquéfié, le gaz naturel et les dispositifs à gaz fabriqué pour les systèmes d'alimentation en carburant de moteur",Ed. 1,UL,"December 07, 2022",
1337,"LP-Gas, Natural Gas, and Manufactured Gas Devices for Engine Fuel Systems / Gaz de pétrole liquéfié, le gaz naturel et les dispositifs à gaz fabriqué pour les systèmes d'alimentation en carburant de moteur",Ed. 1,ULC,"December 07, 2022",ululcanada
1340,Standard for Hoists,Ed. 3,UL,"October 14, 2016",ulstd
1349,LP-Gas Vaporizers / Vaporisateurs de gaz de pétrole liquéfié,Ed. 1,UL,"February 27, 2023",ululcanada
1349,LP-Gas Vaporizers / Vaporisateurs de gaz de pétrole liquéfié,Ed. 1,ULC,"February 27, 2023",ululcanada
1351,Hose Reels,Ed. 1,UL,"October 04, 2005",outline
1356,Outline of Investigation for Pipe Joint Sealing Compounds,Ed. 5,UL,"July 13, 2018",outline
1357,Outline of Investigation for Oxygen-Fuel Gas Flash Arrester and Combination Flash Arrester and Back-Pressure Check Valves,Ed. 7,UL,"February 07, 2019",outline
1358,Outline of Investigation for Compressed Gas Check Valves and Hose Couplers,Ed. 4,UL,"January 15, 2021",outline
1362,Outline of Investigation for Gas Boosters,Ed. 2,UL,"September 01, 2020",outline
1363,Standard for Relocatable Power Taps,Ed. 5,UL,"June 12, 2018",ulstd
1363A,Special Purpose Relocatable Power Taps,Ed. 3,UL,"January 08, 2010",outline
1365,Outline of Investigation for Corrugated Medical Tubing (CMT) Systems,Ed. 7,UL,"August 06, 2020",outline
1366,Outline of Investigation for Insulated Bus Pipe,Ed. 2,UL,"November 23, 2020",outline
1368,Outline of Investigation for Restricted Use Substances in Metallic Components,Ed. 2,UL,"October 18, 2018",outline
1369,ANSI/CAN/UL/ULC Aboveground Piping for Flammable and Combustible Liquids / La tuyauterie hors sol pour les liquides inflammables et combustibles,Ed. 1,UL,"August 31, 2018",ulstd
1369,ANSI/CAN/UL/ULC Aboveground Piping for Flammable and Combustible Liquids / Norme sur la tuyauterie hors sol pour les liquides inflammables et combustibles,Ed. 1,ULC,"August 31, 2018",canulc
1370,Unvented Alcohol Fuel Burning Decorative Appliances,Ed. 1,UL,"July 18, 2011",ulstd
1373,FACTORY-BUILT WATER HEATING GASIFICATION APPLIANCES,Ed. 1,ULC,"March 01, 2020",
1374,Outline of Investigation for Fire Tests of Balcony Assemblies,Ed. 1,UL,"March 28, 2019",outline
1376,"Methodology for Marketing Claim Verification: Security Capabilities Verified to level Bronze/Silver/Gold/Platinum/Diamond, UL MCV 1376",Ed. 2,UL,"September 23, 2021",
1378,GAS-FIRED COMBINED HEAT AND POWER APPLIANCES (mCHP),Ed. 1,ULC,"September 18, 2020",
1378,Sustainability Outline for Portable Rechargeable Batteries and Portable Chargers,Ed. 1,UL Environment,"May 25, 2021",outline
1381,Outline of Investigation for Aerosol Duct Sprayed Sealant,Ed. 1,UL,"August 27, 2013",outline
1382,Outline of Investigation for Sheet Metal Air Ducts with Sealed Joints,Ed. 1,UL,"April 25, 2016",outline
1383,Outline of Investigation for Tubular Cable Support Systems,Ed. 1,UL,"April 19, 2022",outline
1384,Water-Based Automatic Extinguisher Units / Unités de système d'extinction automatique à base eau,Ed. 1,UL,"May 09, 2017",ulcanada
1384,Water-Based Automatic Extinguisher Units / Unités de système d'extinction automatique à base eau,Ed. 1,ULC,"May 09, 2017",ulc
1385,Outline of Investigation for Cryogenic Submersible Pump Cable,Ed. 3,UL,"January 23, 2020",
1385,Outline of Investigation for Cryogenic Submersible Pump Cable,Ed. 4,UL,"March 23, 2023",outline
1386,Outline of Investigation for Flexible Bus Systems,Ed. 1,UL,"August 30, 2022",outline
1387,Outline of Investigation for Flexible Insulated Bus,Ed. 1,UL,"August 09, 2022",outline
1389,Plant Oil Extraction Equipment for Installation and Use in Ordinary (Unclassified) Locations and Hazardous (Classified) Locations / Equipement d'extraction d'huile végétale destiné à être installé et utilisé dans des lieux (non classés) ordinaires et des lieux (classés) dangereux,Ed. 1,UL,"November 25, 2019",ululcanada
1389,Plant Oil Extraction Equipment for Installation and Use in Ordinary (Unclassified) Locations and Hazardous (Classified) Locations / Equipement d'extraction d'huile végétale destiné à être installé et utilisé dans des lieux (non classés) ordinaires et des lieux (classés) dangereux,Ed. 1,ULC,"November 25, 2019",ululcanada
1390,Fireplace Inserts and Hearth-Mounted Stoves for Installation into Masonry Fireplaces,Ed. 1,UL,"September 21, 2022",csdsproposal
1391,Solid-Fuel Space Heaters For Installation Into Factory-Built Fireplaces,Ed. 1,UL,"February 24, 2023",csdsproposal
1393,Environmental Claim Validation Procedure (ECVP) for Marine Biodegradability,Ed. 1,UL Environment,"December 02, 2021",ule
1395,Extraneous Transients Test Method,Ed. 1,UL,"June 17, 2022",csdsproposal
1396,Environmental Claim Validation Procedure (ECVP) for Rapidly Renewable Content,Ed. 1,UL Environment,"December 02, 2021",ule
1397,Environmental Claim Validation Procedure (ECVP) for Net-Zero Water,Ed. 1,UL Environment,"January 27, 2022",ule
1400-1,Outline of Investigation for Fault-Managed Power Systems - Part 1: Safety Requirements,Ed. 1,UL,"December 19, 2022",outline
1400-2,Outline of Investigation for Fault-Managed Power Systems,Ed. 1,UL,"January 06, 2022",outline
1411,"Standard for Transformers and Motor Transformers for Use in Audio-, Radio-, and Television-Type Appliances",Ed. 7,UL,"January 15, 2016",ulstd
1412,Standard for Fusing Resistors and Temperature-Limited Resistors for Radio- and Television- Type Appliances,Ed. 5,UL,"August 30, 1999",ulstd
1413,Standard for High-Voltage Components for Television-Type Appliances,Ed. 6,UL,"December 16, 1999",ulstd
1416,Standard for Overcurrent and Overtemperature Protectors for Radio- and Television- Type Appliances,Ed. 6,UL,"October 29, 1999",ulstd
1417,Standard for Special Fuses for Radio- and Television- Type Appliances,Ed. 6,UL,"October 18, 1999",ulstd
1419,Standard for Professional Video and Audio Equipment,Ed. 4,UL,"February 26, 2016",ulstd
1424,Standard for Cables for Power-Limited Fire-Alarm Circuits,Ed. 4,UL,"January 22, 2015",ulstd
1425,Standard for Cables for Non-Power-Limited Fire-Alarm Circuits,Ed. 4,UL,"December 05, 2014",
1425,Standard for Cables for Non-Power-Limited Fire-Alarm Circuits,Ed. 3,UL,"January 26, 2015",ulstd
1426,Electrical Cables for Boats,Ed. 5,UL,"December 06, 2010",ulstd
1429,Standard for Pullout Switches,Ed. 4,UL,"April 18, 2000",ulstd
1431,Standard for Personal Hygiene and Health Care Appliances,Ed. 3,UL,"March 23, 2011",ulstd
1434,Standard for Thermistor-Type Devices,Ed. 1,UL,"April 03, 1998",ulstd
1434A,Outline of Investigation for Thermistor-Type Devices for Use in Electric Vehicles,Ed. 1,UL,"March 28, 2022",outline
1436,Standard for Outlet Circuit Testers and Similar Indicating Devices,Ed. 6,UL,"September 06, 2016",ulstd
1437,Standard for Electrical Analog Instruments - Panel Board Types,Ed. 4,UL,"December 12, 2006",ulstd
1439,Standard for Tests for Sharpness of Edges on Equipment,Ed. 5,UL,"April 21, 2015",ulstd
1441,Coated Electrical Sleeving,Ed. 5,UL,"June 21, 2021",ulcsa
1446,Systems of Insulating Materials - General / Systèmes de matériaux d'isolation - Généralités,Ed. 8,UL,"November 13, 2019",ulstd
1446A,Outline of Investigation for Dry Type Transformer Insulation Systems Rated Above 600V,Ed. 3,UL,"June 18, 2019",outline
1447,Standard for Electric Lawn Mowers,Ed. 6,UL,"October 13, 2017",ulstd
1449,Surge Protective Devices,Ed. 5,UL,"January 08, 2021",ulstd
1449A,Outline of Investigation for Electric Vehicle (EV) Surge Protective Devices,Ed. 2,UL,"December 06, 2019",
1450,"Standard for Motor-Operated Air Compressors, Vacuum Pumps, and Painting Equipment",Ed. 4,UL,"May 05, 2010",ulstd
1453,Standard for Electric Booster and Commercial Storage Tank Water Heaters,Ed. 6,UL,"March 29, 2016",ulstd
1462,MOBILE HOME PIPE HEATING CABLE,Ed. 4,UL,"June 21, 2006",outline
1468,Standard for Direct Acting Pressure Reducing and Pressure Restricting Valves,Ed. 5,UL,"May 09, 2016",ulstd
1469,Standard for Strength of Body and Hydraulic Pressure Loss Testing of Backflow Special Check Valves,Ed. 2,UL,"December 07, 2006",ulstd
1472,Solid-State Dimming Controls,Ed. 2,UL,"September 25, 2015",ulcsa
1474,Standard for Adjustable Drop Nipples for Sprinkler Systems,Ed. 4,UL,"October 30, 1998",
1474,Standard for Adjustable Drop Nipples for Sprinkler Systems,Ed. 5,UL,"September 27, 2004",ulstd
1474,Adjustable Drop Nipples for Sprinkler Systems,Ed. 1,ULC,"November 01, 2003",
1477,Outline of Investigation for Compressed Gas Shutoff Valves,Ed. 4,UL,"July 25, 2014",outline
1478,Standard for Fire Pump Relief Valves,Ed. 4,UL,"May 13, 2004",ulstd
1478,Fire Pump Relief Valves,Ed. 5,UL,"March 17, 2023",ulstd
1478A,Pressure Relief Valves for Sprinkler Systems,Ed. 1,UL,"May 20, 2013",ulstd
1479,Standard for Fire Tests of Penetration Firestops,Ed. 4,UL,"June 10, 2015",ulstd
1480,"Speakers for Fire Alarm and Signaling Systems, Including Accessories",Ed. 6,UL,"January 28, 2016",ululc
1480A,Speakers for Commercial and Professional Use,Ed. 1,UL,"February 03, 2016",ulstd
1481,Standard for Power Supplies for Fire-Protective Signaling Systems,Ed. 5,UL,"December 12, 2006",ulstd
1482,Standard for Solid-Fuel Type Room Heaters,Ed. 7,UL,"April 25, 2011",ulstd
1484,Standard for Residential Gas Detectors,Ed. 5,UL,"April 20, 2016",ulstd
1486,Standard for Quick Opening Devices for Dry Pipe Valves for Fire Protection Service,Ed. 3,UL,"January 08, 2004",ulstd
1486,Standard for Quick Opening Devices for Dry Pipe Valves for Fire-Protection Service,Ed. 2,UL,"July 31, 2003",
1487,Battery Storage Cabinets,Ed. 1,UL,"February 17, 2023",csdsproposal
1488,Outline of Investigation for Seasonal Use Modular Trees,Ed. 4,UL,"March 02, 2020",outline
1489,Fire Resistant Pipe Protection Systems Carrying Combustible Liquids,Ed. 1,UL,"September 22, 2016",ulstd
1492,Audio-Video Products and Accessories,Ed. 2,UL,"April 30, 1996",ulstd
1493,Outline of Investigation for Underground Low-Energy Circuit Cable,Ed. 6,UL,"September 04, 2015",outline
1497,Environmental Claim Validation Procedure (ECVP) for Biodegradability and Compostability Correlated to Managed Waste Disposal Methods,Ed. 1,UL Environment,"February 23, 2023",
1498,Guidance Document for Gas Detection Equipment,Ed. 1,UL,"November 08, 2022",csdsproposal
1499,Recommended Practice for Implementing Software Updates to Appliances,Ed. 1,UL,"December 15, 2022",outline
1500,Standard for Ignition-Protection Test for Marine Products,Ed. 3,UL,"September 05, 1997",ulstd
1517,Standard for Hybrid Personal Flotation Devices,Ed. 3,UL,"April 20, 2007",ulstd
1551,Outline of Investigation for Sprinkler Systems Wire,Ed. 2,UL,"August 18, 2022",outline
1557,Electrically Isolated Semiconductor Devices,Ed. 7,UL,"December 06, 2022",ulstd
1558,Standard for Metal-Enclosed Low-Voltage Power Circuit Breaker Switchgear,Ed. 5,UL,"February 18, 2016",ulstd
1559,Standard for Insect-Control Equipment - Electrocution Type,Ed. 5,UL,"March 21, 2011",ulstd
1561,Standard for Dry-Type General Purpose and Power Transformers,Ed. 4,UL,"March 02, 2011",ulstd
1562,"Standard for Transformers, Distribution, Dry-Type - Over 600 Volts",Ed. 4,UL,"January 25, 2013",ulstd
1563,"Standard for Electric Spas, Equipment Assemblies, and Associated Equipment",Ed. 6,UL,"July 16, 2009",ulstd
1563,"Standard for Electric Spas, Equipment Assemblies, and Associated Equipment",Ed. 5,UL,"October 30, 2009",
1564,Standard for Industrial Battery Chargers,Ed. 2,UL,"December 27, 1999",
1564,Standard for Industrial Battery Chargers,Ed. 4,UL,"May 14, 2015",ulstd
1565,Positioning Devices,Ed. 6,UL,"July 29, 2022",ulcsa
1567,Standard for Receptacles and Switches Intended for Use with Aluminum Wire,Ed. 5,UL,"March 16, 2012",ulstd
1569,Standard for Metal-Clad Cables,Ed. 5,UL,"May 04, 2018",ulance
1573,Standard for Stage and Studio Luminaires and Connector Strips,Ed. 4,UL,"May 29, 2003",ulstd
1574,Standard for Track Lighting Systems,Ed. 3,UL,"September 07, 2004",ulstd
1576,Flashlights and Lanterns,Ed. 2,UL,"May 13, 2022",ulcsa
1577,Standard for Optical Isolators,Ed. 5,UL,"April 25, 2014",ulstd
1581,"Reference Standard for Electrical Wires, Cables, and Flexible Cords",Ed. 4,UL,"October 31, 2001",ulstd
1587,"Methodology for Marketing Claim Verification: Smart System/Product Verified to level Silver/Gold/Platinum/Diamond, UL MCV 1587",Ed. 1,UL,"February 02, 2023",
1588,Outline for Roof and Gutter De-icing Cable Units,Ed. 4,UL,"May 24, 2002",outline
1594,Standard for Sewing and Cutting Machines,Ed. 4,UL,"April 18, 2008",ulstd
1598,Luminaires,Ed. 3,UL,"September 17, 2008",ulcsance
1598,Luminaires,Ed. 4,UL,"August 28, 2018",ulcsance
1598,Luminaires,Ed. 5,UL,"March 26, 2021",ulcsance
1598A,Standard for Supplemental Requirements for Luminaires for Installation on Marine Vessels,Ed. 1,UL,"December 04, 2000",ulstd
1598B,Standard for Supplemental Requirements for Luminaire Reflector Kits for Installation on Previously Installed Fluorescent,Ed. 1,UL,"December 04, 2000",ulstd
1598C,Light-Emitting Diode (LED) Retrofit Luminaire Conversion Kits,Ed. 1,UL,"January 16, 2014",ulstd
1602,"Standard for Gasoline-Engine-Powered, Rigid-Cutting-Member Edgers and Edger-Trimmers",Ed. 4,UL,"January 28, 2009",ulstd
1610,Standard for Central-Station Burglar-Alarm Units,Ed. 4,UL,"July 05, 2016",ulstd
1618,"Standard for Wall Protectors, Floor Protectors, and Hearth Extensions",Ed. 2,UL,"October 23, 2015",ulstd
1626,Resdential Sprinklers for Fire Protection Service,Ed. 1,ULC,"November 01, 2003",
1635,Standard for Digital Alarm Communicator System Units,Ed. 4,UL,"April 13, 2018",ulstd
1637,Standard for Home Health Care Signaling Equipment,Ed. 5,UL,"September 21, 2017",ulstd
1638,"Visible Signaling Devices for Fire Alarm and Signaling Systems, Including Accessories",Ed. 5,UL,"January 28, 2016",ululc
1638,"Visible Signaling Devices for Fire Alarm and Signaling Systems, Including Accessories",Ed. 6,UL,"April 27, 2023",ululc
1638A,Visual Signal Appliances for General Signaling Use,Ed. 1,UL,"June 22, 2016",ulstd
1640,Standard for Portable Power-Distribution Equipment,Ed. 4,UL,"November 14, 2016",ulstd
1641,Standard for Installation and Classification of Residential Burglar Alarm Systems,Ed. 5,UL,"January 26, 2015",ulstd
1642,Lithium Batteries,Ed. 6,UL,"September 29, 2020",ulstd
1647,Standard for Motor-Operated Massage and Exercise Machines,Ed. 6,UL,"August 03, 2015",ulstd
1650,Portable Power Cable,Ed. 1,UL,"January 28, 2015",ulstd
1651,Standard for Optical Fiber Cable,Ed. 4,UL,"May 15, 2015",ulstd
1652,Flexible Metallic Tubing,Ed. 3,UL,"June 20, 2006",outline
1653,Electrical Nonmetallic Tubing,Ed. 3,UL,"February 15, 2019",ulcsance
1655,Standard for Community-Antenna Television Cables,Ed. 2,UL,"April 21, 2009",ulstd
1659,Standard for Attachment Plug Blades for Use in Cord Sets and Power-Supply Cords,Ed. 3,UL,"April 13, 2005",ulstd
1660,Liquid-Tight Flexible Nonmetallic Conduit,Ed. 6,UL,"January 30, 2019",ulcsance
1666,Standard for Test for Flame Propagation Height of Electrical and Optical-Fiber Cables Installed Vertically in Shafts,Ed. 3,UL,"August 03, 1999",
1666,Standard Test for Flame Propagation Height of Electrical and Optical-Fiber Cables Installed Vertically in Shafts,Ed. 5,UL,"February 16, 2007",ulstd
1670,Subject for Medium Voltage Circuit Breakers and Metal-Clad Switchgear,Ed. 1,UL,"December 20, 1999",
1673,Standard for Electric Space Heating Cables,Ed. 3,UL,"September 13, 2010",ulstd
1676,Standard for Conductive-Path andDischarge Path Resistors,Ed. 3,UL,"September 01, 2000",ulstd
1677,Subject for Communications Cable Assemblies,Ed. 1,UL,"October 03, 2001",
1678,"Standard for Household, Commercial, and Institutional-Use Carts, Stands and Entertainment Centers for Use with Audio and/or Video Equipment",Ed. 6,UL,"June 18, 2019",ulstd
1679,Subject for ISO 9000 Registration Program,Ed. 1,UL,"January 16, 2002",
1680,Outline of Investigation for Stage and Lighting Cables,Ed. 1,UL,"November 18, 2003",outline
1681,Standard for Wiring Device Configurations,Ed. 4,UL,"April 10, 2012",ulstd
1682,"Plugs, Receptacles, and Cable Connectors of the Pin and Sleeve Type",Ed. 5,UL,"February 15, 2017",ulcsance
1683,Outline of Investigation for Electric Heating Products For Installation Under Floor Coverings,Ed. 2,UL,"September 20, 2013",outline
1685,Standard for Vertical-Tray Fire-Propagation and Smoke-Release Test for Electrical and Optical-Fiber Cables,Ed. 4,UL,"July 07, 2015",ulstd
1686,Standard for Pin and Sleeve Configurations,Ed. 4,UL,"August 17, 2012",ulstd
1690,Standard for Data-Processing Cable,Ed. 4,UL,"July 07, 2015",ulstd
1691,Single Pole Locking-Type Separable Connectors,Ed. 2,UL,"September 29, 2021",ulcsa
1692,Standard for Polymeric Materials - Coil Forms,Ed. 2,UL,"June 30, 1999",ulstd
1693,Standard for Electric Radiant Heating Panels and Heating Panel Sets,Ed. 3,UL,"September 13, 2010",ulstd
1694,Standard for Tests for Flammability of Small Polymeric Component Materials,Ed. 3,UL,"February 18, 2002",ulstd
1696,Mechanical Protection Tubing (MPT) and Fittings,Ed. 3,UL,"March 31, 2021",ulcsance
1697,Subject 1697,Ed. 1,UL,"May 09, 2003",
1698,Personal Emergency Response Equipment,Ed. 1,UL,"February 06, 2017",
1699,Standard for Arc-Fault Circuit-Interrupters,Ed. 3,UL,"May 03, 2017",ulstd
1699A,Outline of Investigation for Outlet Branch Circuit Arc-Fault Circuit-Interrupters,Ed. 2,UL,"March 17, 2010",outline
1699B,Photovoltaic (PV) DC Arc-Fault Circuit Protection,Ed. 1,UL,"August 22, 2018",ulstd
1699C,System Combination Arc-Fault Circuit Protection,Ed. 1,UL,"September 05, 2014",
1703,Standard for Flat-Plate Photovoltaic Modules and Panels,Ed. 3,UL,"March 15, 2002",ulstd
1703,FLAT-PLATE PHOTOVOLTAIC MODULES AND PANELS,Ed. 2,ULC,"May 01, 2018",ord
1709,Rapid Rise Fire Tests of Protection Materials for Structural Steel,Ed. 6,UL,"August 08, 2022",ulstd
1711,Standard for Amplifiers for Fire Protective Signaling Systems,Ed. 4,UL,"December 28, 2006",ulstd
1712,Tests for Ampacity of Insulated Electrical Conductors Installed in the Fire Protective System,Ed. 4,UL,"December 12, 2006",outline
1713,"Standard for Pressure Pipe and Couplings, Glass Fiber-Reinforced, for Underground Fire Service",Ed. 4,UL,"May 08, 2017",ulstd
1713,"Pressure Pipe and Couplings, Glass Fiber-Reinforced, for Underground Fire Service",Ed. 1,ULC,"December 03, 2003",
1715,Standard for Fire Test of Interior Finish Material,Ed. 3,UL,"September 09, 1997",ulstd
1724,Fire Tests for Electrical Circuit Protective Systems,Ed. 3,UL,"December 07, 2006",outline
1726,Standard for Automatic Drain Valves for Standpipe Systems,Ed. 3,UL,"April 18, 2001",ulstd
1727,Standard for Commercial Electric Personal Grooming Appliances,Ed. 5,UL,"May 21, 2012",ulstd
1730,Standard for Smoke Detector Monitors and Accessories for Individual Living Units of Multifamily Residences and Hotel/Motel Rooms,Ed. 4,UL,"December 29, 2006",ulstd
1738,"Standard for Venting Systems for Gas-Burning Appliances, Categories II, III, and IV",Ed. 3,UL,"October 04, 2010",ulstd
1739,Standard for Pilot-Operated Pressure-Control Valves for Fire-Protection Service,Ed. 6,UL,"April 28, 2017",ulstd
1740,Standard for Robots and Robotic Equipment,Ed. 4,UL,"January 26, 2018",ulstd
1741,"Standard for Inverters, Converters, Controllers and Interconnection System Equipment for Use With Distributed Energy Resources",Ed. 2,UL,"January 28, 2010",ulstd
1741,"Inverters, Converters, Controllers and Interconnection System Equipment for Use With Distributed Energy Resources",Ed. 3,UL,"September 28, 2021",ulstd
1746,Standard for External Corrosion Protection Systems For Steel Underground Storage Tanks,Ed. 3,UL,"January 17, 2007",ulstd
1767,Early Suppression Fast-Response Sprinklers,Ed. 1,ULC,"December 03, 2003",
1769,Standard for Cylinder Valves,Ed. 5,UL,"June 25, 2015",ulstd
1773,Standard for Termination Boxes,Ed. 6,UL,"October 09, 2018",ulstd
1776,Standard for High-Pressure Cleaning Machines,Ed. 3,UL,"June 07, 2002",ulstd
1777,Standard for Chimney Liners,Ed. 5,UL,"October 02, 2015",ulstd
1778,Uninterruptible Power Systems,Ed. 5,UL,"June 13, 2014",ulcsa
1783,Outline for Direct Connect Systems for Solid Fuel Burning Appliances,Ed. 3,UL,"April 05, 1999",outline
1784,Standard for Air Leakage Tests of Door Assemblies and Other Opening Protectives,Ed. 4,UL,"February 17, 2015",ulstd
1786,Direct Plug-In Nightlights,Ed. 4,UL,"December 17, 2014",ulcsa
1795,Standard for Hydromassage Bathtubs,Ed. 5,UL,"September 02, 2016",ulstd
1801,POWER DISTRIBUTION CENTERS FOR COMMUNICATIONS EQUIPMENT,Ed. 3,UL,"June 06, 2008",outline
1803,Standard for Factory Follow-Up on Third Party Certified Portable Fire Extinguishers,Ed. 4,UL,"February 15, 2012",ulstd
1805,Standard for Laboratory Hoods and Cabinets,Ed. 1,UL,"June 07, 2002",ulstd
1812,Standard for Ducted Heat Recovery Ventilators,Ed. 4,UL,"May 03, 2013",ulstd
1815,Standard for Nonducted Heat Recovery Ventilators,Ed. 5,UL,"February 29, 2012",ulstd
1820,Standard for Fire Test of Pneumatic Tubing for Flame and Smoke Characteristics,Ed. 3,UL,"March 28, 1999",
1820,Standard for Fire Test of Pneumatic Tubing for Flame and Smoke Characteristics,Ed. 4,UL,"October 15, 2004",ulstd
1821,ANSI/CAN/UL Standard for Thermoplastic Sprinkler Pipe and Fittings for Fire Protection Service / ANSI/CAN/UL Norme relative aux tuyaux et raccords de gicleurs thermoplastiques pour le service de protection contre les incendies,Ed. 4,UL,"July 30, 2019",ulstd
1821A,Outline of Investigation for Thermoplastic Sprinkler Pipe and Fittings for Low Pressure Dry Pipe Applications,Ed. 1,UL,"December 16, 2005",outline
1821B,Evaluating Compatibility of Products with CPVC Piping,Ed. 1,UL,"May 06, 2016",
1836,"Outline of Investigation for Electric Motors and Generators for Use in Class I, Division 2, Class I, Zone 2, Class II, Division 2 and Zone 22 Hazardous (Classified) Locations",Ed. 6,UL,"November 14, 2022",outline
1838,Standard for Low Voltage Landscape Lighting Systems,Ed. 3,UL,"January 13, 2003",ulstd
1839,Standard for Automotive Battery Booster Cables,Ed. 2,UL,"August 31, 2016",ulstd
1854,Outline of Investigation for Flexible Secondary Containments for Flammable and Combustible Liquids,Ed. 3,UL,"April 13, 2023",outline
1856,Underground Fuel Tank Internal Retrofit Systems,Ed. 2,UL,"June 15, 2020",outline
1861,Outline of Investigation for Power-Operated Chemical Pumps and Compressors,Ed. 7,UL,"October 05, 2021",outline
1863,Standard for Communications-Circuit Accessories,Ed. 3,UL,"February 06, 2004",
1863,Standard for Communications-Circuit Accessories,Ed. 4,UL,"May 14, 2004",ulstd
1876,Standard for Isolating Signal and Feedback Transformers for Use in Electronic Equipment,Ed. 4,UL,"June 25, 2015",ulstd
1887,Standard for Fire Test of Plastic Sprinkler Pipe for Visible Flame and Smoke Characteristics,Ed. 3,UL,"October 15, 2004",ulstd
1889,Standard for Commercial Filters for Cooking Oil,Ed. 1,UL,"August 30, 1996",ulstd
1893,Standard for Wire Bulletin Compounds,Ed. 1,UL,"February 22, 1999",
1893,Subject 1893,Ed. 2,UL,"November 12, 2013",
1893,Subject 1893,Ed. 18,UL,"February 24, 2015",
1897,Standard for Uplift Tests for Roof Covering Systems,Ed. 7,UL,"September 23, 2015",ulstd
1917,Solid-State Fan Speed Controls,Ed. 5,UL,"June 17, 2022",ulstd
1951,Standard for Electric Plumbing Accessories,Ed. 2,UL,"July 22, 2011",ulstd
1953,Outline of Investigation for Power Distribution Blocks,Ed. 7,UL,"July 01, 2020",outline
1963,Standard for Refrigerant Recovery/Recycling Equipment,Ed. 4,UL,"June 01, 2011",ulstd
1971,Standard for Signaling Devices for the Hearing Impaired,Ed. 3,UL,"November 29, 2002",ulstd
1973,ANSI/CAN/UL Batteries for Use in Stationary and Motive Auxiliary Power Applications / Batteries destinées aux appareils stationnaires et à l'alimentation auxiliaire pour véhicules,Ed. 3,UL,"February 25, 2022",
1974,ANSI/CAN/UL Standard for Evaluation for Repurposing Batteries / Norme sur les évaluation pour la transformation des batteries,Ed. 1,UL,"October 25, 2018",ulstd
1975,Standard for Fire Tests for Foamed Plastics Used for Decorative Purposes,Ed. 3,UL,"November 27, 2006",ulstd
1976,Outline of Investigation for Crimp Tools for use with Connecting Devices,Ed. 4,UL,"February 01, 2018",outline
1977,"Component Connectors for Use in Data, Signal, Control and Power Applications",Ed. 4,UL,"December 07, 2022",ulstd
1978,Standard for Grease Ducts,Ed. 2,UL,"April 01, 2004",
1978,Standard for Grease Ducts,Ed. 1,UL,"July 31, 2001",
1978,Standard for Grease Ducts,Ed. 4,UL,"December 13, 2010",ulstd
1981,Standard for Central-Station Automation Systems,Ed. 3,UL,"October 29, 2014",ulstd
1981,STANDARD FOR SIGNAL RECEIVING CENTRE AUTOMATION SYSTEM / STANDARD FOR SIGNAL RECEIVING CENTRE AUTOMATION SYSTEM,Ed. 1,ULC,"May 13, 2020",canulc
1983,Subject for Drinking Water Program,Ed. 1,UL,"December 11, 2000",
1989,Standard for Standby Batteries,Ed. 5,UL,"October 02, 2013",ulstd
1990,Standard for Nonmetallic Underground Conduit with Conductors,Ed. 3,UL,"November 22, 2013",ulstd
1993,Self-Ballasted Lamps and Lamp Adapters,Ed. 5,UL,"January 27, 2017",ulcsance
1993,Self-Ballasted Lamps and Lamp Adapters,Ed. 6,UL,"February 17, 2023",csdsproposal
1994,Standard for Luminous Egress Path Marking Systems,Ed. 4,UL,"May 29, 2015",ulstd
1995,Heating and Cooling Equipment,Ed. 5,UL,"July 31, 2015",ulcsa
1996,Standard for Electric Duct Heaters,Ed. 4,UL,"August 31, 2009",ulstd
1998,Standard for Software in Programmable Components,Ed. 3,UL,"December 18, 2013",ulstd
2003,Outline of Investigation for LP-Gas Cylinder Assemblies,Ed. 6,UL,"May 29, 2020",outline
2006,Standard for Halon 1211 Recovery/Recharge Equipment,Ed. 3,UL,"June 10, 1998",
2006,Standard for Halon 1211 Recovery/Recharge Equipment,Ed. 5,UL,"September 08, 2011",ulstd
2007A,Shatter Containment Of Lamps For Use In Regulated Food Establishments,Ed. 1,UL,"June 21, 2011",ulstd
2011,Outline of Investigation for Machinery,Ed. 7,UL,"November 10, 2022",outline
2017,Standard for General-Purpose Signaling Devices and Systems,Ed. 2,UL,"December 23, 2008",ulstd
2021,Standard for Fixed and Location-Dedicated Electric Room Heaters,Ed. 4,UL,"September 30, 2015",ulstd
2024,Standard for Cable Routing Assemblies and Communications Raceways,Ed. 5,UL,"March 25, 2014",ulstd
